b 0 341 367 63 454 458 247 311 310 309 306 44 537 335 342 339 536 372 369
c 0 337 535
c 341 456 540
c 367 391
c 367 538
c 63 394 457 541 455 73
c 454 542
c 247 37
c 309 298
c 309 333 340
c 309 307 304 300 299 303
c 306 534
c 44 334
c 537 54 67 403 398
c 537 336
c 537 338
c 537 65
c 537 374 56 380 375 384
c 342 343
b 1 478 471 473 476 81 83 82 88 80 79 78 14 13 12 121 111 484
c 1 77
c 476 481
c 80 475
c 79 472
c 121 112
b 2 148 20 147 139 140 135 127 137 19 145 146 128 151 149
c 140 141
c 135 136
c 127 131 133 132 142 154
c 127 138
c 145 150
c 146 18
c 146 143
c 128 125
b 3 503 504 509 493 530 525 508 529 531 495 521 523 494 527 205 526 520 496 490 510 485 507 165 161 501 488 512
c 3 497
c 493 506
c 530 522 528
c 508 518 517 519
c 529 524
c 521 533 532
c 494 207 28 213 204
c 205 206 129 144
c 205 208 29 134
c 510 489 486 181 175 500
c 510 513
c 485 502 499
c 507 511
c 165 158 172 160
c 165 498 505
c 165 170
c 161 176 162
c 161 514
c 488 491
c 488 487
b 4 36 40 258 243 251 202 184 203 183 198 189 450 216 185 197 26 246
c 4 201
c 36 244
c 36 250 245
c 36 253 260 259
c 40 254 248
c 40 312 308 313 329
c 184 182
c 183 196 515
c 198 186
c 450 220 448 449 451 452
c 216 492
c 185 188
c 26 200
c 26 191
c 26 199
c 246 249
b 5 91 98 105 117 120 95 93 116 108 106 109 130 32 223 211 209 222 34 388 385 396 238 239 226 234 229
c 5 231 35 240
c 91 235
c 91 118
c 105 97
c 105 99
c 105 232
c 105 236
c 95 114 101
c 95 96 11
c 95 113
c 93 90 104 94 107
c 116 122
c 108 100 16 123 115 119
c 108 89
c 106 110
c 130 126 152
c 130 124 17 156 155 153
c 32 219 218 217
c 223 31
c 211 215
c 209 212 214
c 209 30
c 209 210
c 209 221
c 388 389 62 386
c 388 387 453 390
c 385 539 395
c 385 393
c 238 237
c 238 241 242
c 226 225
c 234 228 33 227
c 234 224
c 229 230
b 6 278 178 168 159 169 164 171 21 167 22 274 287 279 292 264 276 275 281
c 178 163
c 178 179
c 168 180
c 168 157
c 169 173 166
c 164 177
c 22 174 23
c 22 25
c 274 24
c 274 290
c 274 270
c 274 280
c 287 272
c 287 271
c 275 263
c 281 284 193 194 516
b 7 252 267 38 27 192 268 265 286 293 285 42 320 318 317 323 321 325 332 316 326 324 315
c 7 294
c 252 255 256 257
c 267 261
c 267 296 291
c 38 39
c 38 295 262 273
c 27 190
c 192 187 195
c 268 282 43
c 268 277
c 268 283
c 265 289
c 293 266 41
c 285 288
c 42 269
c 318 327
c 323 45
c 325 322
c 325 314
c 332 48
c 332 331
c 326 319 330 47
c 315 297
b 8 358 357 352 355 353 359 362 348 49 345 360 344 351 52 354
c 358 51
c 357 364 379
c 352 356
c 362 46
c 49 50
c 49 328 363 346
c 49 53
c 360 361
c 344 349
c 344 301 302
c 52 350 347
c 52 305
b 9 71 72 443 445 440 436 441 432 418 408 66 378 412 426 70 57 430 422
c 72 68
c 445 446 439 428 429
c 440 477 480 444
c 440 69 421
c 436 435
c 436 423 427
c 436 424
c 441 442
c 432 434
c 432 438
c 418 405
c 418 447 419
c 408 410
c 66 400 402 397 407 381
c 66 401
c 378 373 60 59
c 378 61
c 412 437 425
c 70 55
c 57 382 58 377 376 383
c 422 431
b 10 465 74 15 102 103 75 461 467 462 85 433 64 399 415 417 416 366 365 392 469
c 465 466 470
c 74 468
c 102 92
c 75 87
c 75 86 479
c 461 76
c 461 460
c 461 464
c 462 483
c 462 482
c 85 414
c 85 84 474
c 415 411 406
c 415 404 420
c 417 413
c 416 409
c 366 370 371
c 365 463
c 392 368
c 392 233
c 392 459
