b 5 91 98 105 117 120 95 93 116 108 100 123 115 235 35 238 239 226 234 34 209 30 218 106 130 32
c 91 118
c 105 97
c 105 99
c 105 232
c 105 236
c 95 114 101
c 95 96 11
c 95 113
c 93 90 104 94 107
c 116 122
c 108 89
c 100 16
c 115 119
c 235 231
c 35 230
c 35 229
c 35 240
c 238 237
c 238 241 242
c 238 385 396
c 226 225
c 234 228 33 227
c 234 224
c 34 62 389 388 387 453
c 34 386
c 209 212 214
c 209 222
c 209 210
c 209 221
c 30 215 211
c 218 217
c 106 110
c 130 126 152
c 130 109
c 130 124 17 156 155 153
c 32 223 31
c 32 219
