b 5 91 98 105 117 120 95 93 104 107 124 126 109 130 32 211 209 222 34 62 389 385 396 238 239 226 234 229 106
c 5 231 35 240
c 91 235
c 91 118
c 105 97 112
c 105 99 115 119
c 105 232
c 105 89
c 95 114 101
c 95 96
c 95 113
c 104 94 116 122
c 104 90
c 104 155 153
c 124 17
c 126 142 154 132
c 126 152
c 32 223 31
c 32 219 218 217 28
c 211 215
c 209 212 214
c 209 30
c 209 210
c 209 221
c 62 388
c 62 386
c 385 539 395
c 385 393
c 238 237
c 238 241 242
c 226 225
c 234 228 33 227
c 234 224
c 229 230
c 106 110 108 100 16 123
